PatientID,TFH,TregCMI,TregCMII,TregEFFI,TregEFFII,P-value,Correlation,RMSE,Absolute
DLBCL_LS1304,1.676353611,1.096758644,1.19873409,0.535289066,0.759023488,0,0.690511282,0.725242038,5.266158899
DLBCL_LS1395,1.732251869,0.763258538,1.553586783,0.886783412,0.579030005,0,0.624942561,0.790753889,5.514910607
DLBCL_LS146,0.588820224,0.65252852,3.323514448,0.043913913,0,0.01,0.255696299,1.003890609,4.608777105
DLBCL_LS1546,1.652933987,0.845535087,1.334671352,1.100986819,0.552580967,0.01,0.250461446,1.085402466,5.486708211
DLBCL_LS155,1.95698998,1.14089662,1.545077101,1.244203753,0.632649457,0.01,0.294307807,1.0523526,6.51981691
DLBCL_LS1583,1.426992524,0.901105848,1.948022193,0.926142594,0.369733384,0.01,0.297508087,1.022852061,5.571996543
DLBCL_LS1620,1.667070898,0.656055071,0.961484151,0.979745355,0.109438805,0.01,0.345978462,1.065129266,4.373794279
DLBCL_LS1683,1.29097213,0.570029973,1.744713301,0.659127389,0.389488823,0,0.382619341,0.975199463,4.654331616
DLBCL_LS1757,1.96928508,0.351449855,1.732922842,1.147484516,0,0,0.770315367,0.642535732,5.201142292
DLBCL_LS1899,1.520334545,1.30620405,1.422259352,1.017160126,0.113451966,0,0.428839755,0.940535435,5.379410039
DLBCL_LS1921,1.521792449,0.526181146,1.809413881,1.358150851,0,0.01,0.308824982,1.03969209,5.215538327
DLBCL_LS2089,1.832942494,0.58533614,1.906595455,0.649171712,0.775799793,0,0.433638253,0.957930965,5.749845594
DLBCL_LS2154,1.250074681,1.42449147,2.120835565,1.934996742,1.041323105,0.01,0.142510236,1.081236843,7.771721562
DLBCL_LS2208,2.357518155,0.783602986,1.776436993,0.308344503,0.087621205,0.01,0.273404208,1.15462767,5.313523842
DLBCL_LS2245,0.989316964,0.544793182,1.602735727,1.566948326,0.200137949,0.01,0.216213589,1.062429161,4.903932149
DLBCL_LS2258,1.58866543,1.398290255,2.030926384,0.933877528,0.741703788,0,0.433066659,0.923945019,6.693463385
DLBCL_LS2328,2.110555239,0.957846619,2.401006197,0,0.08852473,0,0.651320134,0.773800246,5.557932784
DLBCL_LS2357,1.484918328,0.824919368,1.853611603,1.253316285,0.634259365,0,0.487704102,0.891168055,6.051024948
DLBCL_LS2367,0.421330969,0.435583909,2.255329302,0.932275204,0.623345877,0.01,0.236500224,1.011400923,4.667865261
DLBCL_LS2590,1.585159608,0.714629017,1.54522441,1.07006827,0.586571006,0.01,0.296062703,1.046797916,5.501652311
DLBCL_LS2596,1.530776139,0.922189152,2.025829743,0,0.429574761,0.01,0.142125709,1.143939672,4.908369795
DLBCL_LS2599,0.751488138,0.188439863,1.2441426,2.45778525,0.413269529,0.01,0.239171366,1.053066325,5.05512538
DLBCL_LS2848,2.269687524,0.838707909,1.499421929,1.675926413,1.028814427,0,0.533314194,0.879356878,7.312558203
DLBCL_LS2978,1.540295254,0.592198547,1.578938301,1.159638618,0.35569215,0,0.542725393,0.86119489,5.226762869
DLBCL_LS3085,0.495496922,1.026272935,2.113678149,1.736841836,1.370615861,0.01,0.150623148,1.053724617,6.742905702
DLBCL_LS3200,1.630983485,0.740071934,2.144506611,0.102455349,0.246751204,0.01,0.205349556,1.119727475,4.864768583
DLBCL_LS3204,1.775768241,0.605975121,1.649774371,1.138105494,0.126841166,0.01,0.329945467,1.046698918,5.296464393
DLBCL_LS3219,1.725277169,1.599229747,1.468405097,1.233331659,1.675672861,0.01,0.302149323,1.013331194,7.701916533
DLBCL_LS3245,1.811525189,0,1.840365347,1.084737652,0.206429585,0,0.364687407,1.047104988,4.943057772
DLBCL_LS3271,1.812907751,1.12090967,1.974653365,1.312887174,1.338033972,0,0.351306657,0.987726139,7.559391932
DLBCL_LS3309,2.004891444,0,2.108641041,0.570770672,0,0.01,0.237062639,1.181288492,4.684303157
DLBCL_LS3387,1.05152559,0.709502185,1.840422536,0.789244097,0.830532466,0.01,0.263197097,1.025492023,5.221226872
DLBCL_LS3499,1.508276642,0.555193531,1.754707921,1.419854803,0.734175031,0,0.455561256,0.921198462,5.972207928
DLBCL_LS3615,1.913212649,1.11236157,1.371935024,0.832967149,0,0,0.674961448,0.74882036,5.230476391
DLBCL_LS3749,0.994524431,1.021511388,0.912898411,1.189204811,0.670713543,0.01,0.188770369,1.076913586,4.788852584
DLBCL_LS378,2.087923652,1.104383964,2.029014454,0,0,0,0.638468868,0.792722031,5.22132207
DLBCL_LS3809,1.036940533,0.744883212,1.912796651,0.870712383,0.374833691,0.01,0.261613671,1.026681236,4.940166469
DLBCL_LS3820,1.526002016,0.877601875,1.460959973,0.429431991,0.554476216,0,0.486506202,0.908749186,4.848472071
DLBCL_LS3866,1.769366214,0.394325488,1.767136491,1.160649779,0.285510624,0,0.520004606,0.893546129,5.376988597
DLBCL_LS4054,1.895335557,1.238583559,2.455823509,0.848324985,0.305020399,0,0.493940615,0.889953908,6.743088009
DLBCL_LS4085,1.182109555,0.29115914,2.410299718,1.571516182,0.969086179,0.01,0.209597744,1.061440322,6.424170774
DLBCL_LS4323,1.900150042,1.761655922,1.726191732,0,0.269280253,0,0.701838815,0.712466405,5.657277949
