PatientID,Exhausted,PreExhausted,Memory,Naive,P-value,Correlation,RMSE,Absolute
DLBCL_LS1304,0.542023047,3.408233574,2.861332817,2.13446019,0,0.384246708,0.977356863,8.946049628
DLBCL_LS1395,1.131913637,2.958082988,3.137557172,2.100273134,0,0.223818319,1.090350817,9.327826931
DLBCL_LS146,0.392392282,2.865917828,3.634033453,1.701390612,0.01,0.093827621,1.175785926,8.593734175
DLBCL_LS1546,0.379553196,4.098523275,2.101478317,2.055854742,0,0.21244878,1.096942435,8.63540953
DLBCL_LS155,1.610306243,3.058732458,4.503910832,1.154654437,0,0.231916082,1.107855004,10.32760397
DLBCL_LS1583,0.691848657,3.166639347,4.54959537,2.230478296,0,0.189422869,1.115289281,10.63856167
DLBCL_LS1620,1.178019995,2.084199994,1.774747871,1.604675708,0,0.190468944,1.11208217,6.641643568
DLBCL_LS1683,0.575207301,2.948759745,2.16728766,2.070564943,0,0.319153362,1.020626363,7.761819648
DLBCL_LS1757,0.100142995,4.59238372,2.533764919,2.068776599,0,0.311572384,1.032633809,9.295068233
DLBCL_LS1899,0.169758559,3.228617058,3.246131959,2.51074547,0,0.290854362,1.039635781,9.155253046
DLBCL_LS1921,0.547383938,3.019168654,3.137197951,2.514185525,0,0.154058185,1.127528109,9.217936068
DLBCL_LS2089,1.148690228,3.708718161,3.546654486,1.276261887,0,0.176341867,1.13716542,9.680324761
DLBCL_LS2154,0.715048919,2.835825663,6.703153723,2.101728145,0,0.152428625,1.152196775,12.35575645
DLBCL_LS2208,0.864558374,2.313393876,1.997374062,1.73899444,0,0.206599843,1.097778796,6.914320752
DLBCL_LS2245,0.345954678,4.11562427,3.237196487,1.756854815,0,0.13608313,1.150899733,9.45563025
DLBCL_LS2258,0.814658271,4.165938298,3.900482243,1.458391674,0,0.244816871,1.088132924,10.33947049
DLBCL_LS2328,0,3.902421461,4.310964438,2.048542113,0,0.278564887,1.056179909,10.26192801
DLBCL_LS2357,0.65772073,3.666449227,5.047720762,1.01510434,0,0.198841364,1.128401787,10.38699506
DLBCL_LS2367,1.406350657,1.620188055,3.914580608,0.931345713,0,0.305563986,1.06097046,7.872465034
DLBCL_LS2590,0.795662026,2.816056314,3.051441041,2.097527997,0,0.139556594,1.141152617,8.760687379
DLBCL_LS2596,0.194408125,2.78357908,2.093279929,1.585934171,0,0.249668561,1.070383135,6.657201306
DLBCL_LS2599,0.389120138,4.209506991,2.990719285,1.363185023,0.05,0.07643112,1.195331007,8.952531437
DLBCL_LS2848,0,4.407787139,5.46874394,1.244798003,0,0.269404268,1.076116032,11.12132908
DLBCL_LS2978,0.626086203,3.481023547,2.23438032,1.97862133,0,0.305427139,1.033483161,8.320111399
DLBCL_LS3085,2.148809853,2.492879233,5.637173324,1.224592377,0,0.20555573,1.133882211,11.50345479
DLBCL_LS3200,0.905953865,3.908216449,1.447688102,1.909289222,0,0.299098888,1.042467668,8.171147638
DLBCL_LS3204,1.496339588,3.767630868,2.49083229,1.3431535,0,0.178544604,1.136491749,9.097956246
DLBCL_LS3219,2.784948991,2.931561762,4.645059104,1.562659043,0,0.213442295,1.123639637,11.9242289
DLBCL_LS3245,1.028536668,4.199809637,2.479415674,1.48470581,0,0.147893071,1.151619895,9.192467789
DLBCL_LS3271,1.820095791,4.056335133,5.629501375,0.619881378,0,0.249242153,1.108432723,12.12581368
DLBCL_LS3309,0,3.536422094,2.580200223,2.480224119,0,0.133476024,1.139143234,8.596846436
DLBCL_LS3387,2.670315835,2.962649808,4.085574579,0.510614097,0,0.163297105,1.180249023,10.22915432
DLBCL_LS3499,0.602060987,3.338780285,4.8141776,0.686716961,0,0.223921098,1.117101998,9.441735832
DLBCL_LS3615,0.212944566,3.458911548,1.870381517,2.262680788,0,0.264944651,1.056335257,7.80491842
DLBCL_LS3749,1.595245285,3.883418871,1.280065245,2.117761627,0.01,0.103355082,1.172047075,8.876491028
DLBCL_LS378,0,3.093759151,2.193396,1.891802811,0,0.377413909,0.981026116,7.178957963
DLBCL_LS3809,0.690158125,2.896426733,3.084321307,1.709500667,0,0.243190884,1.079373925,8.380406831
DLBCL_LS3820,0.784407235,2.995340692,2.741904966,1.653546153,0,0.2037058,1.105629558,8.175199046
DLBCL_LS3866,0.417336491,3.796087494,2.871291865,1.799305696,0,0.209910774,1.101160751,8.884021546
DLBCL_LS4054,1.229490357,3.216758666,3.224374521,2.290195925,0,0.350688828,1.003370342,9.960819469
DLBCL_LS4085,2.263250691,3.099241232,3.778015699,1.160842558,0,0.165004451,1.157385816,10.30135018
DLBCL_LS4323,0,4.589631337,1.659748976,2.405016397,0,0.323759332,1.022034306,8.65439671
DLBCL_LS4592,0.632830523,3.651450502,2.964942024,1.568016824,0,0.207741559,1.106549501,8.817239872
DLBCL_LS4616,0.743337207,3.421285219,4.123595069,0.786950182,0,0.278007102,1.075881251,9.075167677
DLBCL_LS4618,0.071465766,4.360374907,1.130949723,2.522579352,0,0.165944916,1.125308489,8.085369747
DLBCL_LS4619,0.651368456,4.155075599,2.791960587,1.576659796,0,0.162838123,1.137768366,9.175064437
DLBCL_LS762,1.123278371,3.367501058,3.293339868,1.201055839,0,0.203344975,1.11925413,8.985175135
DLBCL_LS951,0.666377976,4.428431003,4.771681324,0.53037079,0,0.327946084,1.046163014,10.39686109
DLBCL_MAYO_DLBCL_234,0,2.598604962,4.022013376,1.541690287,0,0.151285854,1.143816532,8.162308626
DLBCL_MAYO_DLBCL_3653,0.317020011,2.060785995,3.73392556,1.353405857,0,0.198096748,1.116419776,7.465137424
DLBCL_MAYO_DLBCL_5613,0,5.024641985,4.055646922,1.43998439,0,0.499234169,0.899358705,10.5202733
DLBCL_MAYO_DLBCL_7359,0.913080833,1.699016798,5.295186943,2.424773757,0,0.294340014,1.051867349,10.33205833
DLBCL_c_D_1103,0.537901499,2.781868841,2.522695457,2.321421276,0.01,0.105974614,1.155148324,8.163887073
DLBCL_c_D_1104,0.492632673,3.587297593,4.955022323,1.942447895,0,0.361250464,1.001881029,10.97740048
DLBCL_c_D_1105,0.481802172,3.546812434,2.297230436,1.724412376,0,0.19602895,1.109213301,8.050257418
DLBCL_c_D_1106,1.193484402,4.080376107,3.74531993,1.186996703,0,0.167578563,1.14624219,10.20617714
DLBCL_c_D_1107,0.674805236,4.520180623,5.859974145,0.787325463,0,0.207475086,1.128837839,11.84228547
