PatientID,TFH,TregCMI,TregCMII,TregEFFI,TregEFFII,P-value,Correlation,RMSE,Absolute
CTSP-ACZT,3.15770037597713,1.99596560175824,2.0766261134341,2.1979580707978,3.11676600544662,0,0.264475513848891,1.05787099323578,12.5450161674139
CTSP-ACZU,2.74951959913773,2.02391111038049,2.85213758674076,3.69046183888801,6.69296913660946,0,0.239832654587683,1.05948829096778,18.0089992717565
CTSP-ACZW,0.270021321003033,4.65446279181104,1.67234871193628,0.46927064531905,4.24041270247695,0,0.218969046269962,1.03347486518185,11.3065161725464
CTSP-AD2E,2.76266265029065,2.23198373538524,1.41811702247837,2.50981675006928,4.36474889700554,0,0.175406150061365,1.11039372259336,13.2873290552291
CTSP-B02B,3.66070759284053,4.004599855,2.34605158544165,0,2.19492380126068,0,0.379246159308198,0.979624691989849,12.2062828345428
DLBCL10502,0.693749967283956,2.49404988198373,2.18300366064671,2.98618182346433,3.9612457033427,0,0.216763797411,1.04789852973382,12.3182310367214
DLBCL10521,0,5.82186223214121,1.07005237878305,2.32299187159516,6.47729987229109,0,0.200696727445774,1.05138934303478,15.6922063548105
CTSP-ACY5,4.71215004222561,2.69448280359217,2.61227806994745,4.50388506612353,4.59416583803787,0,0.570566461013942,0.833048541845525,19.1169618199266
CTSP-ACY6,1.16823048775417,3.1873861807622,2.51911529186792,3.58800729502488,5.14983394788404,0,0.223076818044056,1.04682239994275,15.6125732032932
CTSP-ACY8,1.64251939335824,2.77077712650994,2.86022622990398,2.37967088110302,2.25715803122506,0,0.210355073989929,1.05028038460893,11.9103516621002
CTSP-AD4K,4.62608563044055,2.00358446906147,3.37584156506257,7.28110645564033,6.8271154826975,0,0.507827603189688,0.882681780222465,24.1137336029024
CTSP-ADRS,2.27561395625133,4.58920491146135,1.66086978188311,1.51978142175425,2.7560729409056,0,0.35578993470004,0.969866662264443,12.8015430122556
CTSP-ACYH,3.34997685174631,1.42784569733578,2.93806580518484,2.63164058254041,4.15114406796719,0,0.374267161358059,0.980979821072505,14.4986730047745
CTSP-ACYJ,3.607770710211,3.52737787837025,1.61133987554748,3.05562248900357,2.03380520396311,0,0.345646844843242,1.00112280086685,13.8359161570954
CTSP-ACYM,2.80489679264831,1.61376443087194,3.03134425428919,3.90689411253187,5.23862134168509,0,0.322514322180327,1.00734539275342,16.5955209320264
CTSP-ACYX,1.52279403475935,3.62977278893982,1.27030602747179,1.89850785943527,9.68934566372411,0.29,0.031764290732527,1.17716903836573,18.0107263743303
