PatientID,Exhausted,PreExhausted,Memory,Naive,P-value,Correlation,RMSE,Absolute
CTSP-ACZT,2.658511733,6.823542798,0.481419884,3.752134861,0,0.252994059,1.065788613,13.71560928
CTSP-ACZU,4.71427906,7.595064005,3.249815123,4.476962608,0.01,0.145274458,1.160585867,20.0361208
CTSP-ACZW,1.496661735,4.094534731,1.648982693,5.612573791,0,0.17004243,1.076531313,12.85275295
CTSP-AD2E,0.603992356,9.788231887,0,3.829055606,0,0.189747948,1.088694114,14.22127985
CTSP-B02B,0.321700911,7.631555258,0,6.402677819,0,0.18642436,1.057066656,14.35593399
DLBCL10502,3.057816349,6.843212709,1.827372573,4.424689889,0,0.182887685,1.110560978,16.15309152
DLBCL10521,5.669655019,4.602411281,7.938712986,2.763317167,0,0.185905469,1.188394126,20.97409645
CTSP-ACY5,4.137986528,7.298390795,5.355483922,3.760945264,0,0.340152768,1.031830531,20.55280651
CTSP-ACY6,5.17792834,3.860614855,6.937841114,3.444556826,0,0.274501706,1.108579801,19.42094114
CTSP-ACY8,0.640600379,5.851254763,0.72518686,6.460695428,0,0.211987135,1.040426204,13.67773743
CTSP-AD4K,6.172889695,7.894190478,5.876295222,3.440807605,0,0.34645965,1.050183055,23.384183
CTSP-ADRS,2.808211833,6.114442781,1.244686756,4.353845096,0,0.380405101,0.974369533,14.52118647
CTSP-ACYH,1.680469869,9.209506325,0.479908083,3.192515212,0,0.317740963,1.022886157,14.56239949
CTSP-ACYJ,1.828504745,7.898169877,1.477088769,3.120950345,0,0.279916655,1.048838575,14.32471374
CTSP-ACYM,5.743624688,5.384679821,3.688805715,2.934110099,0,0.331442054,1.0720551,17.75122032
CTSP-ACYX,2.712568139,7.890928074,7.212175695,8.321895069,0.69,-0.003781069,1.198883073,26.13756698
CTSP-ACYP,1.833335041,3.233534258,2.823226132,4.127826842,0.01,0.16248012,1.10748811,12.01792227
CTSP-ACYS,1.615452213,9.062135871,0.614462132,5.075548711,0,0.307614253,1.010175728,16.36759893
CTSP-B02I,2.63501147,7.503503069,1.559007515,3.662983808,0.01,0.137888212,1.143347261,15.36050586
CTSP-ACYV,3.754671794,7.787682001,4.577876946,0.732311645,0,0.280025685,1.119006565,16.85254239
CTSP-B02H,1.637894599,8.22927778,0,4.013007858,0.01,0.167829837,1.104750829,13.88018024
CTSP-ACZC,5.601929124,6.879978399,1.778951245,2.595831089,0,0.231278868,1.147888935,16.85668986
CTSP-ACZE,2.871705688,8.191886299,2.094669519,3.49310589,0,0.267870904,1.066508986,16.6513674
CTSP-ACZK,3.371544652,5.654699422,7.030578362,1.53269412,0,0.261041073,1.121048835,17.58951656
CTSP-ACZS,0.503626305,2.08934684,1.148119326,8.318016987,0.01,0.11715694,1.082696867,12.05910946
CTSP-AD0Z,4.480570336,5.289010625,2.444153042,3.931466577,0.01,0.12999565,1.177525284,16.14520058
CTSP-AD05,2.965500748,3.405842401,3.873005339,4.80783407,0,0.200663681,1.100769387,15.05218256
CTSP-AD13,1.251889678,6.043883768,2.208607329,6.459565669,0.01,0.120789601,1.102509675,15.96394644
CTSP-AD14,5.410836318,3.951598797,6.052549578,2.985368141,0,0.175306268,1.190653071,18.40035283
CTSP-B02F,0.728127358,5.160875868,0.578653132,4.931579121,0.02,0.107082321,1.103086413,11.39923548
CTSP-B02E,6.33792292,5.863696657,6.86262067,3.328774323,0,0.25520195,1.129640913,22.39301457
CTSP-AD18,3.763955751,5.234170691,1.46064324,5.681388452,0.01,0.123674891,1.139899052,16.14015813
CTSP-AD1A,0.81187329,10.71641489,0.452788045,4.771351027,0,0.317500034,1.004477041,16.75242725
CTSP-AD1R,0.447810445,8.961666863,0,4.978435328,0,0.255447555,1.032887171,14.38791264
CTSP-AD4F,5.814186269,3.625735265,2.808990004,4.369565342,0,0.188535002,1.159643366,16.61847688
CTSP-B02D,0.960339729,6.797891562,0.872752343,4.822206506,0.01,0.148005886,1.093850063,13.45319014
CTSP-AD1Z,0.426713184,5.220361936,0,7.446454827,0.01,0.155338619,1.062283168,13.09352995
CTSP-AD28,3.616447024,5.896851801,1.002274038,4.258713733,0,0.244713886,1.078772297,14.7742866
CTSP-AD4Q,4.950560125,8.803218495,1.653219693,11.53324212,0.02,0.102237582,1.125479624,26.94024044
CTSP-AD4C,1.688525391,8.161153537,0.940736589,3.215391154,0,0.214684307,1.088298583,14.00580667
CTSP-AD4V,3.261604558,5.856803136,0.864915219,4.864222313,0,0.185405269,1.102769431,14.84754523
