"","Epitope","value"
"1","CD2",75
"2","CD3",75
"3","CD4",90
"4","CD5",125
"5","CD7",100
"6","CD8a",35
"7","CD10",15
"8","CD103",10
"9","CD11b",15
"10","CD11c",40
"11","CD127",35
"12","CD134",22.5
"13","CD137",12.5
"14","CD150",20
"15","CD152",10
"16","CD16",15
"17","CD161",10
"18","CD183",15
"19","CD184",7.5
"20","CD185",20
"21","CD19",25
"22","CD194",15
"23","CD195",5
"24","CD197",7.5
"25","CD20",35
"26","CD21",40
"27","CD22",30
"28","CD223",7.5
"29","CD23",20
"30","CD24",20
"31","CD244",30
"32","CD25",75
"33","CD27",150
"34","CD273",15
"35","CD274",15
"36","CD279",110
"37","CD278",200
"38","CD28",30
"39","CD29",60
"40","CD31",100
"41","CD32",20
"42","CD357",7.5
"43","CD366",20
"44","CD38",50
"45","CD39",12.5
"46","CD43",150
"47","CD44",150
"48","CD45",50
"49","CD45RA",15
"50","CD45RO",10
"51","CD47",50
"52","CD48",250
"53","CD56",10
"54","CD57",50
"55","CD62L",25
"56","CD69",140
"57","CD70",15
"58","CD73",50
"59","CD79b",7.5
"60","CD86",12.5
"61","CD95",30
"62","KLRG1",15
"63","Lambda",7.5
"64","Kappa",20
"65","TIGIT",5
"66","mouseIgG1",10
"67","mouseIgG2a",10
"68","mouseIgG2b",10
"69","hamsterIgG",10
"70","ratIgG2b",10
